nome,genero,data_nascimento,presença_plenario,ausencia_plenario,ausencia_justificada_plenario,presenca_comissao,ausencia_comissao,ausencia_justificada_comissao,quant_viagem,gasto_total_par,gasto_jan_par,gasto_fev_par,gasto_mar_par,gasto_abr_par,gasto_mai_par,gasto_jun_par,gasto_jul_par,gasto_ago_par,gasto_set_par,gasto_out_par,gasto_nov_par,gasto_dez_par,gasto_total_gab,gasto_jan_gab,gasto_fev_gab,gasto_mar_gab,gasto_abr_gab,gasto_mai_gab,gasto_jun_gab,gasto_jul_gab,gasto_ago_gab,gasto_set_gab,gasto_out_gab,gasto_nov_gab,gasto_dez_gab,salario_bruto
CLARISSA BARROS ASSED MATHEUS DE OLIVEIRA,F,02/07/1982,86,0,6,37,0,14,0,289071.2,7971.69,16907.3,54747.61,49861.8,57969.92,53352.84,20869.99,15804.77,9670.34,1855.18,59.76,,1112908.0699999998,110918.38,110319.03,110945.19,111532.21,111532.21,111532.21,111532.21,111532.21,111532.21,111532.21,,,33763.0
CELINA LEAO HIZIM FERREIRA,F,02/03/1977,71,2,19,18,1,23,1,101582.40000000001,1190.04,11101.64,13853.72,18215.77,17835.36,15949.33,14392.13,6642.14,2402.27,0.0,0.0,,1102763.97,110531.62,110840.11,110489.74,109406.57,110401.05,109266.63,109432.72,110798.51,110798.51,110798.51,,,33763.0
DANIELA MOTE DE SOUZA CARNEIRO,F,10/02/1976,80,10,2,42,9,9,0,304951.63,35968.58,36604.61,48540.64,61049.56,50236.04,27308.97,20808.56,13155.35,11253.04,0.0,26.28,,1097670.8499999999,111004.43,110578.75,110970.4,111234.95,111234.95,111234.95,111234.95,110155.05,109870.15,100152.27,,,33763.0
SORAYA DE SOUZA MANNATO,F,10/03/1961,92,0,0,111,0,64,0,276291.75,31353.75,37397.79,57239.48,36607.77,43635.09,15176.75,23098.74,18128.98,8706.64,4946.76,0.0,,1100822.25,111501.77,111501.77,110559.03,110173.36,110920.06,110221.1,107709.88,107907.12,109518.27,110809.89,,,33763.0
VANDA DENIR MILANI NOGUEIRA,F,17/09/1953,72,13,7,31,11,22,0,391634.75,45066.55,49027.62,29462.19,36127.46,71009.98,22618.07,41106.51,44816.37,25900.0,26500.0,0.0,,1103843.6300000001,109028.91,110980.61,111507.9,109468.16,111544.28,110383.9,111280.73,111580.69,111580.69,106487.76,,,33763.0
EDNACE ALVES SILVESTRE HENRIQUE,F,04/09/1958,52,9,1,13,7,6,0,243584.48999999996,,,,21722.42,41564.86,44584.53,40428.22,32338.39,34109.42,28606.65,230.0,,1109015.64,110222.29,107865.76,109797.12,111663.63,111512.59,111590.85,111590.85,111590.85,111590.85,111590.85,,,33763.0
ROSANA DE OLIVEIRA VALLE,F,08/05/1969,87,3,2,44,2,2,0,336434.57,21183.33,29131.46,53484.17,52840.25,41134.85,34551.95,41195.46,30158.94,20867.06,11662.38,224.72,,1050130.62,107098.26,107098.26,107098.26,107098.26,100284.96,91133.79,106579.32,107632.04,109901.08,106206.39,,,33763.0
DULCE FERREIRA PAGANI MIRANDA,F,15/12/1963,84,8,0,78,11,8,0,385034.29999999993,17405.28,54422.42,66007.2,43629.27,48597.93,16964.63,42936.18,44081.35,12782.41,38029.26,178.37,,1102626.1300000001,111515.73,108469.11,109947.21,108778.45,110497.62,110780.17,110780.17,110780.17,110297.33,110780.17,,,33763.0
RENATA HELLMEISTER DE ABREU,F,15/04/1982,48,14,0,5,10,18,0,199541.42,31109.86,31679.38,42089.94,31671.65,42896.72,3728.86,,,,14647.92,1717.09,,1073067.29,96622.36,104075.25,110440.45,106841.6,108188.68,109718.62,106018.07,110109.96,110476.84,110575.46,,,33763.0
ROSANGELA DE SOUZA GOMES,F,27/12/1966,77,15,0,2,0,0,2,318174.26,35619.36,53038.08,41099.12,30910.68,40356.2,24832.33,27594.88,28932.93,13329.32,22402.45,58.91,,1114958.7,111495.87,111495.87,111495.87,111495.87,111495.87,111495.87,111495.87,111495.87,111495.87,111495.87,,,33763.0
